chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
0.412497789,0.092871942,0.271290302,0.014146203,2371.493544,473623.2417,2530.20174,150469.5133,5044.027833,1984016.978,0.088864038,0.002185728,0.555355549,0.065851331,129.1992188,-58.41815186,6777.595703,77.1368866,649.9519043,-7.337562084,639.4881592,22.29878616,428.4632263,0.902114451,254.3712921,7.285673141,169.0428314,6.723144531,149.9493103,9.214253426,143.0678253,1.77541256,114.5344315,6.473917007,108.8222809,2.84732914,69.49869537,6.953495502,80.77631378,-0.080337383,93.17131805,5.851297379,74.6920166,-1.768634319,86.68654633,6.519449711,86.20104218,1.747765183,99.13451385,6.19750452,94.64994812,4.588825226,121.5043411,8.617341995,129.6832733
0.397350639,0.095513575,0.281873465,0.008385486,2340.884568,624475.0451,2403.754513,170983.343,4923.427173,2370982.32,0.095451552,0.003004175,0.449872404,0.080175564,123.046875,-30.31609535,6177.040039,85.96548462,859.9276123,-13.75874996,410.1104126,24.46426582,286.403595,6.784774303,243.4720001,10.1854887,160.7155304,-7.332624912,137.6117706,9.593110085,116.515274,-4.046969414,124.8925476,0.641911864,141.1334839,-0.435138375,86.05880737,0.313380092,111.5599823,0.667475045,92.57479858,2.789540768,110.5969696,0.62891984,84.41236115,6.209516525,91.29839325,-4.580178261,79.88762665,-1.186244011,63.18186188,-3.634038687,59.78733063,-0.676613271,71.73513031
0.362611443,0.09518519,0.235325381,0.013896108,2678.63187,922711.5321,2611.801095,266231.0973,5697.268327,3389660.262,0.116849823,0.006262355,0.501071274,0.079406127,89.10290948,-66.39936829,7935.684082,71.97727966,1182.332275,-1.959130049,695.3998413,13.70564747,382.8612671,0.883870661,347.0619812,6.807632446,183.1433563,-6.458090305,272.6440125,5.997667313,202.8160858,-8.66299057,151.1348572,1.757585645,148.7955627,-2.13914609,152.9093933,-0.183704853,133.7128143,-0.452440411,128.1003113,-2.375184536,131.4951935,-3.405250788,108.2660217,0.277914643,122.1228409,-12.04887009,100.0617981,2.188665867,111.3913651,-4.357182026,114.4224625,-3.19827199,111.7368393
0.322995067,0.092522927,0.303767383,0.015545494,2100.336514,865993.5584,2317.330264,285844.6497,4391.895665,3799463.201,0.083111805,0.003580001,0.415895164,0.072872259,129.1992188,-51.74725342,8048.595703,99.10047913,1213.180908,-0.663655996,548.8837891,22.56842613,352.1288452,5.630113125,199.68396,3.048360109,155.1448364,-12.32601261,140.9493103,-0.921136141,169.078949,-14.09064579,125.1616287,-0.668514371,143.149765,-3.892340422,84.97686005,3.488431454,80.6925354,-3.25694418,72.65821075,-1.554811716,85.20212555,-1.440351129,70.06743622,0.108892828,70.11734009,-8.538848877,77.96282959,2.795166731,68.75623322,-6.754149914,80.90937805,-0.525270343,69.80272675
0.394933939,0.092363492,0.23761642,0.008918386,2759.708594,835570.0431,2741.085359,308302.2449,6087.447912,3305449.612,0.11984571,0.004832303,0.47576496,0.074645005,135.9991776,-38.74105835,9508.374023,74.16850281,965.2715454,5.659770489,620.0427246,18.88785934,208.8037262,7.770311356,196.3530426,7.627342701,144.345047,0.943886697,106.0045547,6.094351768,94.62470245,-0.816235423,76.32751465,6.58687067,70.15468597,-3.942183256,75.01956177,3.310172796,73.27458954,1.203653574,68.19578552,9.485249519,88.66123199,2.669354439,111.1243515,8.753245354,114.0809555,-0.230864272,81.34291077,1.29092896,88.00947571,-4.151852131,61.56447601,2.169986963,65.90061951
0.327896446,0.093600415,0.238008037,0.013174299,2398.134856,822797.3831,2416.23519,210295.8207,5067.651301,2931093.336,0.099996057,0.003897023,0.349861532,0.081162378,103.359375,-76.50367737,6663.728516,76.57186127,1254.120728,-6.974268436,570.0566406,29.55217552,337.4564514,3.733277082,305.2287903,15.33411026,256.6868591,-2.172607183,231.8464203,4.818721294,171.1027527,-8.533721924,193.8435669,0.049441312,194.6609802,-5.492096424,184.7117767,-1.226944923,162.7460022,-0.786593378,145.726593,0.955147266,143.8337402,-2.297750235,132.8721466,-3.34306097,116.6418381,-7.465650558,100.7244568,0.219328791,87.91944122,-3.274269342,67.88570404,-0.140998185,81.8902359
0.267683327,0.090818971,0.199377418,0.009395658,1711.365541,1116852.842,1953.082243,750031.7364,3616.290633,5873459.156,0.076232784,0.003518409,0.316692978,0.088004492,161.4990234,-149.4746399,11197.62207,120.1556015,2311.228027,18.27907562,1078.195923,10.49360657,330.4896851,9.916938782,265.6652222,5.69436264,161.9883881,-10.76203346,214.8404999,9.248993874,241.6227875,-16.8806057,192.8644562,-4.469480038,151.8553925,1.436839938,270.3446655,-8.974234581,161.4673004,-9.087805748,111.3121567,-1.355089545,83.02812195,-5.824289322,93.57444763,-5.953083992,106.5546112,-5.97955513,78.85811615,-0.127517313,107.5878983,-0.652819097,148.9351959,-2.15195322,208.004425
0.412604809,0.092609785,0.225177556,0.01818887,2906.649715,1132234.139,2671.930041,293952.7503,6060.536964,4057860.426,0.146650222,0.010905348,0.454931825,0.07473103,143.5546875,-51.91191864,8257.636719,67.0635376,1211.020142,-15.86483955,634.7249756,2.664995909,435.1500854,-0.252917588,357.4620667,-4.210536957,301.6706848,-6.967907429,174.5523682,-3.07115674,217.7174988,-9.017045975,163.9885559,2.144349813,132.5381775,-4.680182934,142.6307373,0.788952172,135.8159332,-3.692261696,106.670784,1.338208675,86.0899353,-3.651592255,67.17536163,3.017847776,67.27404785,-3.626225471,73.82886505,3.459853649,64.12405396,-0.835513234,67.38783264,6.260255337,65.78862
0.356292576,0.095769301,0.225648835,0.006922723,1636.313226,499558.0871,2421.23676,273538.3239,3565.867327,4816592.261,0.051845617,0.001120458,0.429649383,0.078917168,117.4538352,-119.2814407,6257.765625,124.87677,827.5075073,32.94002533,353.8266907,10.14915276,219.7983398,14.97774792,173.5662994,-0.136734247,215.4633179,0.373585224,146.3614502,1.545505285,116.486969,-8.207520485,146.8992157,4.29603672,126.3613892,-6.673075199,95.29645538,-0.206722319,77.62046051,-3.214394331,85.49326324,1.007210255,77.74053192,-4.346633434,63.80296326,0.822788656,81.26774597,-7.610992432,74.21489716,1.847262621,68.974823,-4.596400738,64.38802338,-0.109383032,84.9978714
0.388899267,0.096246995,0.251003295,0.01374468,2554.72046,984579.9475,2744.082404,350181.7247,5901.196261,4149619.226,0.08850822,0.006442766,0.37361753,0.076017737,129.1992188,-78.50535583,8582.773438,76.73705292,1228.665527,10.66981125,514.770874,14.00928211,313.2344666,7.393943787,335.1547241,7.746188641,178.0851593,1.320049644,176.330307,9.421683311,217.4557953,-0.348642021,124.2627716,7.009346485,146.0082397,-2.925191402,104.3075943,3.902742863,94.39783478,-0.146543428,77.1818161,4.045647621,75.3871994,1.299343467,69.57946014,1.94921577,77.93692017,-2.051441908,87.16661835,2.043279409,66.15302277,-4.025504112,66.95404816,3.67066884,56.97807693
