song,lyrics
Buttabomma,Inthakanna Manchi Polikedi Naaku Thattaledu Gaani Ammu Ee Love Anedi Bubble-u Gum-mu Antukunnadhante Podhu Nammu Mundu Nunchi Andharanana Maate Gaani Malli Anatanaane Ammu Idhi Cheppakunda Vache Thummo Premanaapaleru Nannu Nammu Ettaga Anaee Yeduru Choopuki Thaginattuga Nuvvu Badhulu Chebithive Arey Devuda Idhendhanentha Lopate Pilladanta Deggarayi Nannu Cheradheestive Butta Bomma Butta Bomma Nannu Suttukuntive Zindagike Atta Bommayi Janta Kattukuntive Buttabomma Buttabomma Nannu Suttukuntive Zindagi-Ke Atta Bommai Janta Kattu Kuntive Multiplex Loni Audience Laga Mounamguna Gani Ammu Lona Dandanaka Jariginde Nammu Dimma Diriginaade Mind Sim-mu Rajula Kalam Kaadhu Rathamo Gurran Levu Addhan Mundara Natho Nene Yudham Chestaante Gaajula Chethulu Jaapi Deggarakochina Nuvvu Chеpallo Chitikesi Chakkaravarthini Chesave Chinnaga Chinnkku Thumparadigithе Kundapothaga Tufaan-u Thestive Maataga O Malle Poovunadigithe Mootaga Pola Thotaga Painochi Padithive Butta Bomma Butta Bomma Nannu Suttukuntive Zindagi-Ke Atta Bommai Janta Kattu Kuntive Veli Ninda Nannu Theesi Bottu Pettukuntive Kaali Kindi Puvvu Nenu Nethinetu Kuntive Inthakanna Manchi Polikedi Naaku Thattaledu Gaani Ammu Ee Love Anedi Bubble-u Gum-mu Antukunnadhante Podhu Nammu Mundu Nunchi Andharanana Maate Gaani Malli Anatanaane Ammu Idhi Cheppakunda Vache Thummo Premanapaleru Nannu Nammu
Ve Maahi,O maahi ve o maahi ve Maahi mainu chhaddeyo naa Ke tere bin dil nahio lagna Jithe vi tu chalna ae Maahi main tere piche piche chalna Tu jee sakdi nai Main jee sakda nai Koi doosri main shartan vi rakhda nai Kya tere baajon mera Sacchiyan mohabbatan ve Ho maahi kithe hor nahio milna Hor nahio milna Jithe vi tu chaleya haan Maahi main tere piche piche chalna (Pichhe pichhe chaleya) O maahi ve o maahi ve Dil vich tere yaara mainu rehn de Aankhon se yeh aankhon wali gal kehn de Dil vich tere yaara mainu rehn de Aankhon se yeh aankhon wali gal kehn de Dhadkan dil di ae tainu pehchaane Tu mera hai main hoon teri Rab bhi ye jaane Tu reh sakdi nai main reh sakda nai Tere bin yaara aur kitte takkda nai Kya tere baajon mera Rang tera chadheya ve Ke hun koi rang nahio chadhna Rang nahio chadheya Jithe vi tu chaleya haan Maahi main tere pichhe pichhe chalna (Pichhe pichhe chaleya) Maahi mainu chhadeyo naa Ke tere bin dil nahio lagna Jithe vi tu chalna ae Maahi main tere piche piche chalna Maahi mainu chhadeyo na Ke tere bin dil nahio lagna Jithe vi tu chalna ae Maahi main tere piche piche chalna ओ माही वे ओ माही वे माही मैनु छड्ड्यो ना के तेरे बिन दिल नइयो लगना जित्थे वी तू चलना ऐ माही मैं तेरे पीछे पीछे चलना तू जी सकदी नही मैं जी सकदा नही कोई दूसरी मैं शर्तां वी रखदा नही क्या तेरे बाजों मेरा सच्चियाँ मोहब्बतां वे हो माही कित्ते होर नइयो मिलना होर नइयो मिलना जित्थे वी तू चलेया हाँ माही मैं तेरे पीछे पीछे चलना (पीछे पीछे चलेया) ओ माही वे ओ माही वे दिल विच तेरे यारा मैनु रहं दे आँखों से यह आँखों वाली गल केह्न दे दिल विच तेरे यारा मैनु रहं दे आँखों से यह आँखों वाली गल केह्न दे धड़कन दिल दी आए तैनु पहचाने तू मेरा है मैं हूँ तेरी रब भी ये जाने तू रह सकदी नई मैं रह सकदा नई तेरे बिन यारा और कित्ते तकदा नई क्या तेरे बाजों मेरा रंग तेरा चढ़ेया वे के हुन कोई रंग नइयो चढ़ना रंग नइयो चढ़ेया जित्थे वी तू चलेया हाँ माही मैं तेरे पीछे पीछे चलना (पीछे पीछे चलेया) माही मैनु छड्ड्यो ना के तेरे बिन दिल नइयो लगना जित्थे वी तू चलना ऐ माही मैं तेरे पीछे पीछे चलना माही मैनु छड्ड्यो ना के तेरे बिन दिल नइयो लगना जित्थे वी तू चलना ऐ माही मैं तेरे पीछे पीछे चलना Written by: Tanishk Bagchi
Tum Hi Ho, Hum tere bin ab reh nahi sakte Tere bina kya wajood mera? Hum tere bin ab reh nahi sakte Tere bina kya wajood mera? Tujhse juda gar ho jayenge To khudse hi ho jayenge juda Kyunki tum hi ho ab tum hi ho Zindagi ab tum hi ho Chain bhi mera dard bhi Meri aashiqi ab tum hi ho Tera mera rishta hai kesa Ek pal dur gawara nahi Tere liye har roz hai jeete Tujhko diya mera waqt sabhi Khoi lamha mera na ho tere bina Har saans pe naam tera Kyunki tum hi ho ab tum hi ho Zindagi ab tum hi ho Chain bhi mera dard bhi Meri aashiqi ab tum hi ho Tere liye hi jiya main Khudko jo yun de diya hai Tere wafa ne mujhko sambhala Sare gham ko dil se nikala Tujhe paake aadura na raha Kyunki tum hi ho ab tum hi ho Zindagi ab tum hi ho Chain bhi mera dard bhi Meri aashiqi ab tum hi ho Kyunki tum hi ho ab tum hi ho Zindagi ab tum hi ho Chain bhi mera dard bhi Meri aashiqi ab tum hi ho
