song,lyrics
Lakshya,Haan yehi rasta hai tera tune ab jaana hai Haan yehi rasta hai tera tune ab jaana hai Haan yehi sapna hai tera tune pehchaana hai Haan yehi rasta hai tera tune ab jaana hai Haan yehi sapna hai tera tune pehchaana hai Tujhe ab ye dikhaana hai Roke tujhko aandhiyaan ya zameen aur aasmaan Paayega jo lakshya hai tera Lakshya toh har haal mein paana hai Mushkil koyi aajaaye toh parbat koyi takraaye toh Taaqat koyi dikhlaaye toh toofaan koyi mandlaaye toh Mushkil koyi aajaaye toh parbat koyi takraaye toh Barse chaahe ambar se aag lipte chaahe pairon se laakh Barse chaahe ambar se aag lipte chaahe pairon se laakh Paayega jo lakshya hai tera Lakshya toh har haal mein paana hai Himmat se jo koyi chale dharti hille qadmon tale Kya dooriyaan kya faasle manzil lage aake gale Himmat se jo koyi chale dharti hille qadmon tale Tu chal yunhi ab sub-o-shaam rukna jhukna nahin tera kaam Tu chal yunhi ab sub-o-shaam rukna jhukna nahin tera kaam Paayega jo lakshya hai tera Lakshya toh har haal mein paana hai Haan yehi rasta hai tera tune ab jaana hai Haan yehi sapna hai tera tune pehchaana hai Tujhe ab ye dikhaana hai
Sultan,Kismat jo aave saamne Tu mod de uska panja re Kismat jo aave saamne Tu mod de uska panja re Chal mode de uska panja re Saat aasmaan cheere Ab saat samandar peere Chal saat suron mein karde ye elaan Himmat hai toh roko Aur zurrat hai toh baaton Re aaj hatheli pe rakhdi hai jaan Khoon mein tere mitti Mitti mein tera khoon Khoon mein tere mitti Mitti mein tera khoon Upar Allah niche dharti Beech mein tera junoon Aye Sultan! Seene mein tere aag paani aandhi hai Mehnat ki dori honslon se baandhi hai O… Seene mein tere aag paani aandhi hai Mehnat ki dori honslon se baandhi hai Hai parvat bhi tu hi Aur tu hi pathar hai Jo chahe tu wo hi ban jaye Teri marzi hai Aansu aur paseena Are hai toh dono paani Par mod ke rakh de dono hi tufaan Chot ho jitni gehri Ya thes jigar mein thehri Toh jazbaa utna zehri hai ye maan Noor-e-sukoon niyat se junoon Ye tujhko pata hai Tujhme chhupa hai Tu usko le usko le pehchaan Tera iraada tujhse bhi zyaada Usko pata hai jo lapata hai Tu itna le itna le ab maan Woh dil mein hai tere Tu uski nazron mein Chal hadd se aage re Chaha jo tune wo paane Chal banja re Sultan Saat aasmaan cheere Ab saat samandar peere Chal saat suron mein karde ye elaan Khoon mein tere mitti Mitti mein tera khoon Khoon mein tere mitti Mitti mein tera khoon Upar Allah niche dharti Beech mein tera junoon Sultan! Saat aasmaan cheere Ab saat samandar peere Chal saat suron mein karde ye elaan Himmat hai toh roko Aur zurrat hai toh baaton Re aaj hatheli pe rakhdi hai jaan Written by: Irshad Kamil
Phir Le Aya Dil (Reprise),Phir le aaya dil majboor kya keeje Raas na aaya rehna door kya keeje Dil keh raha use maqammal kar bhi aao Wo jo adhoori si baat baaki hai Wo jo adhoori si yaad baaki hai Wo jo adhoori si yaad baaki hai Karte hain hum aaj qabool kya keeje Ho gayi thi jo humse bhool kya keeje Dil keh raha use mayassar kar bhi aao Wo jo dabi si aas baaki hai Wo jo dabi si aanch baaki hai Wo jo dabi si aanch baaki hai Wo jo dabi si aanch baaki hai Kismat ko hai yeh manzoor kya keeje Milte rahe hum baadastoor kya keeje Kismat ko hai yeh manzoor kya keeje Milte rahe hum baadastoor kya keeje Dil keh raha hai use musalsal kar bhi aao Wo jo ruki si raah baaki hai Wo jo ruki si chaah baaki hai Wo jo ruki si chaah baaki hai Wo jo ruki si chaah baaki hai
